AMT;TID;BEBO;INDHOLD
Province Østjylland;2012;Occupied dwellings;381027
Province Østjylland;2013;Occupied dwellings;385254
Province Østjylland;2014;Occupied dwellings;389016
Province Østjylland;2015;Occupied dwellings;392162
Favrskov;2010;Occupied dwellings;18964
Favrskov;2011;Occupied dwellings;19251
Favrskov;2012;Occupied dwellings;19386
Favrskov;2013;Occupied dwellings;19436
Favrskov;2014;Occupied dwellings;19507
Favrskov;2015;Occupied dwellings;19690
Hedensted;2010;Occupied dwellings;19103
Hedensted;2011;Occupied dwellings;19245
Hedensted;2012;Occupied dwellings;19324
Hedensted;2013;Occupied dwellings;19358
Hedensted;2014;Occupied dwellings;19398
Hedensted;2015;Occupied dwellings;19638
Horsens;2010;Occupied dwellings;37004
Horsens;2011;Occupied dwellings;37432
Horsens;2012;Occupied dwellings;37908
Horsens;2013;Occupied dwellings;38930
Horsens;2014;Occupied dwellings;39405
Horsens;2015;Occupied dwellings;39774
Norddjurs;2010;Occupied dwellings;17576
Norddjurs;2011;Occupied dwellings;17636
Norddjurs;2012;Occupied dwellings;17672
Norddjurs;2013;Occupied dwellings;17849
Norddjurs;2014;Occupied dwellings;17992
Norddjurs;2015;Occupied dwellings;18143
Odder;2010;Occupied dwellings;9385
Odder;2011;Occupied dwellings;9436
Odder;2012;Occupied dwellings;9450
Odder;2013;Occupied dwellings;9505
Odder;2014;Occupied dwellings;9622
Odder;2015;Occupied dwellings;9720
Randers;2010;Occupied dwellings;44897
Randers;2011;Occupied dwellings;45156
Randers;2012;Occupied dwellings;45381
Randers;2013;Occupied dwellings;45742
Randers;2014;Occupied dwellings;45959
Randers;2015;Occupied dwellings;46331
Samsø;2010;Occupied dwellings;2036
Samsø;2011;Occupied dwellings;1996
Samsø;2012;Occupied dwellings;2003
Samsø;2013;Occupied dwellings;1964
Samsø;2014;Occupied dwellings;1954
Samsø;2015;Occupied dwellings;1946
Silkeborg;2010;Occupied dwellings;38520
Silkeborg;2011;Occupied dwellings;38631
Silkeborg;2012;Occupied dwellings;38786
Silkeborg;2013;Occupied dwellings;38985
Silkeborg;2014;Occupied dwellings;39202
Silkeborg;2015;Occupied dwellings;39490
Skanderborg;2010;Occupied dwellings;23276
Skanderborg;2011;Occupied dwellings;23452
Skanderborg;2012;Occupied dwellings;23695
Skanderborg;2013;Occupied dwellings;23810
Skanderborg;2014;Occupied dwellings;23980
Skanderborg;2015;Occupied dwellings;24199
Syddjurs;2010;Occupied dwellings;18177
Syddjurs;2011;Occupied dwellings;18295
Syddjurs;2012;Occupied dwellings;18345
Syddjurs;2013;Occupied dwellings;18487
Syddjurs;2014;Occupied dwellings;18623
Syddjurs;2015;Occupied dwellings;18713
Aarhus;2010;Occupied dwellings;146677
Aarhus;2011;Occupied dwellings;147871
Aarhus;2012;Occupied dwellings;149077
Aarhus;2013;Occupied dwellings;151188
Aarhus;2014;Occupied dwellings;153374
Aarhus;2015;Occupied dwellings;154518
Province Vestjylland;2010;Occupied dwellings;189681
Province Vestjylland;2011;Occupied dwellings;190518
Province Vestjylland;2012;Occupied dwellings;191292
Province Vestjylland;2013;Occupied dwellings;191871
Province Vestjylland;2014;Occupied dwellings;192616
Province Vestjylland;2015;Occupied dwellings;193368
Herning;2010;Occupied dwellings;37987
Herning;2011;Occupied dwellings;38172
Herning;2012;Occupied dwellings;38478
Herning;2013;Occupied dwellings;38703
Herning;2014;Occupied dwellings;39030
Herning;2015;Occupied dwellings;39197
Holstebro;2010;Occupied dwellings;25684
Holstebro;2011;Occupied dwellings;25953
Holstebro;2012;Occupied dwellings;26017
Holstebro;2013;Occupied dwellings;26131
Holstebro;2014;Occupied dwellings;26237
Holstebro;2015;Occupied dwellings;26276
Ikast-Brande;2010;Occupied dwellings;17461
Ikast-Brande;2011;Occupied dwellings;17608
Ikast-Brande;2012;Occupied dwellings;17623
Ikast-Brande;2013;Occupied dwellings;17671
Ikast-Brande;2014;Occupied dwellings;17784
Ikast-Brande;2015;Occupied dwellings;17880
Lemvig;2010;Occupied dwellings;9756
Lemvig;2011;Occupied dwellings;9737
Lemvig;2012;Occupied dwellings;9695
Lemvig;2013;Occupied dwellings;9672
Lemvig;2014;Occupied dwellings;9618
Lemvig;2015;Occupied dwellings;9552
Ringkøbing-Skjern;2010;Occupied dwellings;25101
Ringkøbing-Skjern;2011;Occupied dwellings;25072
Ringkøbing-Skjern;2012;Occupied dwellings;25111
Ringkøbing-Skjern;2013;Occupied dwellings;25104
Ringkøbing-Skjern;2014;Occupied dwellings;25092
Ringkøbing-Skjern;2015;Occupied dwellings;25223
Skive;2010;Occupied dwellings;22057
Skive;2011;Occupied dwellings;22141
Skive;2012;Occupied dwellings;22131
Skive;2013;Occupied dwellings;22108
Skive;2014;Occupied dwellings;22101
Skive;2015;Occupied dwellings;22138
Struer;2010;Occupied dwellings;10058
Struer;2011;Occupied dwellings;10003
Struer;2012;Occupied dwellings;10124
Struer;2013;Occupied dwellings;10062
Struer;2014;Occupied dwellings;10005
Struer;2015;Occupied dwellings;10034
Viborg;2010;Occupied dwellings;41577
Viborg;2011;Occupied dwellings;41832
Viborg;2012;Occupied dwellings;42113
Viborg;2013;Occupied dwellings;42420
Viborg;2014;Occupied dwellings;42749
Viborg;2015;Occupied dwellings;43068
Region Nordjylland;2010;Occupied dwellings;269283
Region Nordjylland;2011;Occupied dwellings;270392
Region Nordjylland;2012;Occupied dwellings;271353
Region Nordjylland;2013;Occupied dwellings;272838
Region Nordjylland;2014;Occupied dwellings;274668
Region Nordjylland;2015;Occupied dwellings;276615
Province Nordjylland;2010;Occupied dwellings;269283
Province Nordjylland;2011;Occupied dwellings;270392
Province Nordjylland;2012;Occupied dwellings;271353
Province Nordjylland;2013;Occupied dwellings;272838
Province Nordjylland;2014;Occupied dwellings;274668
Province Nordjylland;2015;Occupied dwellings;276615
Brønderslev;2010;Occupied dwellings;16047
Brønderslev;2011;Occupied dwellings;16079
Brønderslev;2012;Occupied dwellings;16096
Brønderslev;2013;Occupied dwellings;16095
Brønderslev;2014;Occupied dwellings;16204
Brønderslev;2015;Occupied dwellings;16314
Frederikshavn;2010;Occupied dwellings;29605
Frederikshavn;2011;Occupied dwellings;29613
Frederikshavn;2012;Occupied dwellings;29589
Frederikshavn;2013;Occupied dwellings;29694
Frederikshavn;2014;Occupied dwellings;29702
Frederikshavn;2015;Occupied dwellings;29742
Hjørring;2010;Occupied dwellings;30558
Hjørring;2011;Occupied dwellings;30506
